entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Francisco Andrade Marín,Cargo,['Alcalde Metropolitano de Quito'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Andrade Marín?,['Alcalde Metropolitano de Quito'],['ecuador'],[['Alcalde de Quito']]
Francisco Antonio Zea,Cargo,"['Vicepresidente de Colombia', 'ambassador of Colombia to the United Kingdom']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Antonio Zea?,"['Vicepresidente de Colombia', 'ambassador of Colombia to the United Kingdom']","['colombia', 'colombia']","[['Vice presidente de Colombia', 'Vice presidente de la República de Colombia', 'Vicepresidente de la República de Colombia'], []]"
Francisco Bertrand Barahona,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Bertrand Barahona?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco Bográn Barahona,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Bográn Barahona?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco Bueso Cuéllar,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Bueso Cuéllar?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco Castellón Sanabria,Cargo,['embajador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Castellón Sanabria?,['embajador'],['nicaragua'],"[['embajadora', 'representante permanente']]"
Francisco Dueñas Díaz,Cargo,['Ministro de Relaciones Exteriores de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Dueñas Díaz?,['Ministro de Relaciones Exteriores de El Salvador'],['el_salvador'],"[['Ministra de Relaciones Exteriores', 'Ministra de Relaciones Exteriores de la República de El Salvador', 'Ministro de Relaciones Exteriores de la República de El Salvador']]"
Francisco Ferrera,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Ferrera?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco Flores,Cargo,['presidente de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Flores?,['presidente de El Salvador'],['el_salvador'],"[['presidenta de El Salvador', 'presidente salvadoreño']]"
Francisco Gregorio Billini,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Gregorio Billini?,['presidente de la República Dominicana'],['republica_dominicana'],"[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana']]"
Francisco Guevara,Cargo,"['Consejero de la Facultad de Medicina y Cirugía', 'Director Suplente del Hospital Rosales y Cementerio de San Salvador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Guevara?,"['Consejero de la Facultad de Medicina y Cirugía', 'Director Suplente del Hospital Rosales y Cementerio de San Salvador']","['el_salvador', 'el_salvador']","[[], []]"
Francisco Henríquez y Carvajal,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Henríquez y Carvajal?,['presidente de la República Dominicana'],['republica_dominicana'],"[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana']]"
Francisco Inestroza,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Inestroza?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco Javier Arana,Cargo,"['jefe del estado mayor', 'presidente de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Javier Arana?,"['jefe del estado mayor', 'presidente de Guatemala']","['guatemala', 'guatemala']","[['jefe de estado mayor'], ['Presidenta de Guatemala', 'Presidente Constitucional de la República de Guatemala', 'presidente de la República de Guatemala']]"
Francisco Javier Errázuriz Ossa,Cargo,"['cardenal', 'arzobispo de Santiago de Chile', 'arzobispo titular', 'obispo de Valparaíso']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Javier Errázuriz Ossa?,"['cardenal', 'arzobispo de Santiago de Chile', 'arzobispo titular', 'obispo de Valparaíso']","['chile', 'chile', 'chile', 'chile']","[['cardenalato', 'prelado', 'cardenal católico', 'cardenal catolico', 'cardenal cristiano', 'principe de la Iglesia', 'príncipe de la Iglesia', 'purpurado'], [], [], []]"
Francisco Javier de Luna Pizarro,Cargo,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Lima']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Javier de Luna Pizarro?,"['obispo auxiliar', 'obispo titular', 'Arzobispo de Lima']","['peru', 'peru', 'peru']","[['obispo'], [], []]"
Francisco José Arnáiz,Cargo,"['obispo auxiliar', 'obispo titular']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Arnáiz?,"['obispo auxiliar', 'obispo titular']","['republica_dominicana', 'republica_dominicana']","[['obispo'], []]"
Francisco José Cox Huneeus,Cargo,"['obispo diocesano', 'arzobispo de La Serena']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Cox Huneeus?,"['obispo diocesano', 'arzobispo de La Serena']","['chile', 'chile']","[['obispo eparquial', 'obispo ordinario', 'obispo residencial'], []]"
Francisco José Guerrero Cienfuegos,Cargo,['Ministro de Relaciones Exteriores de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Guerrero Cienfuegos?,['Ministro de Relaciones Exteriores de El Salvador'],['el_salvador'],"[['Ministra de Relaciones Exteriores', 'Ministra de Relaciones Exteriores de la República de El Salvador', 'Ministro de Relaciones Exteriores de la República de El Salvador']]"
Francisco José Iturriza,Cargo,['obispo de Coro'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Iturriza?,['obispo de Coro'],['venezuela'],[['obispo de Coro']]
Francisco José Orlich Bolmarcich,Cargo,['Presidente de Costa Rica'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Orlich Bolmarcich?,['Presidente de Costa Rica'],['costa_rica'],[[]]
Francisco José Tigerino Dávila,Cargo,['Obispo de Bluefields'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco José Tigerino Dávila?,['Obispo de Bluefields'],['nicaragua'],[[]]
Francisco León de la Barra,Cargo,"['ministro', 'embajador', 'presidente de México']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco León de la Barra?,"['ministro', 'embajador', 'presidente de México']","['mexico', 'mexico', 'mexico']","[['ministra', 'ministros', 'Miembro del Gobierno'], ['embajadora', 'representante permanente'], ['presidenta de México', 'presidente de los Estados Unidos Mexicanos', 'Presidente de Mexico', 'presidente mexicano']]"
Francisco Malespín,Cargo,['presidente de El Salvador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Malespín?,['presidente de El Salvador'],['el_salvador'],"[['presidenta de El Salvador', 'presidente salvadoreño']]"
Francisco Morales Bermúdez,Cargo,"['Presidente del Consejo de Ministros del Perú', 'Ministro de Economía y Finanzas del Perú', 'presidente del Perú', 'Comandante General del Ejército del Perú']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Morales Bermúdez?,"['Presidente del Consejo de Ministros del Perú', 'Ministro de Economía y Finanzas del Perú', 'presidente del Perú', 'Comandante General del Ejército del Perú']","['peru', 'peru', 'peru', 'peru']","[['Presidente del Consejo de Ministros', 'Presidente del Consejo de Ministros de Peru', 'Presidente del Consejo de Ministros de Perú', 'Presidente del Consejo de Ministros del Peru', 'primer ministro de Peru', 'primer ministro de Perú', 'primer ministro del Peru', 'primer ministro del Perú'], ['Ministra de Economia y Finanzas de Peru', 'Ministra de Economía y Finanzas de Perú', 'Ministra de Economia y Finanzas del Peru', 'Ministra de Economía y Finanzas del Perú', 'Ministro de Economía y Finanzas', 'Ministro de Economia y Finanzas de Peru', 'Ministro de Economía y Finanzas de Perú', 'Ministro de Economia y Finanzas del Peru'], ['Presidente de la Republica del Peru', 'Presidente de la República del Perú', 'Presidente Constitucional de la Republica del Peru', 'Presidente Constitucional de la República del Perú', 'Presidente de Peru', 'Presidente de Perú', 'Presidente del Peru', 'presidente peruano'], ['Comandante General del Ejercito del Peru']]"
Francisco Morazán,Cargo,"['presidente de El Salvador', 'presidente de Honduras', 'presidente de la República Federal de Centro América', 'jefe supremo del Estado de El Salvador']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Morazán?,"['presidente de El Salvador', 'presidente de Honduras', 'presidente de la República Federal de Centro América', 'jefe supremo del Estado de El Salvador']","['honduras', 'honduras', 'honduras', 'honduras']","[['presidenta de El Salvador', 'presidente salvadoreño'], ['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño'], ['presidente de Centro América', 'presidente de Centroamérica'], ['Jefe de Estado de El Salvador', 'Jefe de Estado del Salvador', 'Jefe del Estado de El Salvador', 'Jefe del Estado del Salvador', 'Jefe Supremo de El Salvador', 'Jefe Supremo del Estado del Salvador', 'Jefe Supremo del Salvador']]"
Francisco Navarro,Cargo,['vicepresidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Navarro?,['vicepresidente de Nicaragua'],['nicaragua'],[[]]
Francisco Ovidio Vera Intriago,Cargo,"['obispo auxiliar', 'obispo titular']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Ovidio Vera Intriago?,"['obispo auxiliar', 'obispo titular']","['ecuador', 'ecuador']","[['obispo'], []]"
Francisco Ramón Vicuña,Cargo,['presidente de Chile'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Ramón Vicuña?,['presidente de Chile'],['chile'],"[['Congreso nacional', 'Gobierno chileno', 'Poder ejecutivo de chile', 'Presidente de la Republica', 'Su gobierno fue declarado inconstitucional por el congreso nacional.']]"
Francisco Rangel Gómez,Cargo,['gobernador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Rangel Gómez?,['gobernador'],['venezuela'],"[['Comisionado Civil', 'Eleccion gubernamental', 'Elección gubernamental', 'Gobernadora', 'governador']]"
Francisco Solano López,Cargo,"['vicepresidente del Paraguay', 'presidente de Paraguay']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco Solano López?,"['vicepresidente del Paraguay', 'presidente de Paraguay']","['paraguay', 'paraguay']","[['Vicepresidente de Paraguay', 'Vicepresidente paraguayo', 'Vicepresidentes de Paraguay', 'Vicepresidentes del Paraguay'], ['Presidente de la Republica del Paraguay', 'Presidente de la República del Paraguay']]"
Francisco de Aguilar,Cargo,['presidente de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco de Aguilar?,['presidente de Honduras'],['honduras'],"[['presidenta de Honduras', 'Presidente de la Republica de Honduras', 'Presidente de la República de Honduras', 'Presidente hondureño']]"
Francisco de Guruceaga Iturriza,Cargo,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco de Guruceaga Iturriza?,"['obispo auxiliar', 'obispo titular', 'obispo diocesano']","['venezuela', 'venezuela', 'venezuela']","[['obispo'], [], ['obispo eparquial', 'obispo ordinario', 'obispo residencial']]"
Francisco de Miranda,Cargo,['presidente de Venezuela'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco de Miranda?,['presidente de Venezuela'],['venezuela'],[[]]
Francisco de Paula Santander,Cargo,['Presidente de Colombia'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco de Paula Santander?,['Presidente de Colombia'],['colombia'],[[]]
Francisco de la Lastra,Cargo,"['director supremo de Chile', 'diputado de Chile']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco de la Lastra?,"['director supremo de Chile', 'diputado de Chile']","['chile', 'chile']","[[], ['diputado chileno', 'diputado de la República de Chile', 'miembro de la Camara de Diputados de Chile', 'miembro de la Cámara de Diputados de Chile']]"
Francisco del Rosario Sánchez,Cargo,['presidente de la República Dominicana'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Francisco del Rosario Sánchez?,['presidente de la República Dominicana'],['republica_dominicana'],"[['PresidenciaRD', 'presidenta de la República Dominicana', 'Presidente de la Republica Dominicana', 'Presidente de la República Dominicana']]"
Franco Romero,Cargo,['diputado Nacional del Ecuador'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Franco Romero?,['diputado Nacional del Ecuador'],['ecuador'],[['diputado de Ecuador']]
Frank William La Rue,Cargo,['relatoría especial de las Naciones Unidas'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Frank William La Rue?,['relatoría especial de las Naciones Unidas'],['guatemala'],"[['relator especial', 'relator especial de la ONU', 'relator especial de las Naciones Unidas', 'relatora especial de la ONU', 'relatora especial de las Naciones Unidas']]"
Freddy Jesús Fuemayor Suárez,Cargo,['obispo diocesano'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Freddy Jesús Fuemayor Suárez?,['obispo diocesano'],['venezuela'],"[['obispo eparquial', 'obispo ordinario', 'obispo residencial']]"
Fredy Renán Nájera,Cargo,['diputado del Congreso Nacional de Honduras'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fredy Renán Nájera?,['diputado del Congreso Nacional de Honduras'],['honduras'],"[['diputada de Honduras', 'diputada hondureña', 'diputado de Honduras', 'diputado hondureño', 'miembro del Congreso Nacional de Honduras', 'parlamentario de Honduras', 'parlamentario hondureño']]"
Fritz García-Gallont,Cargo,"['Ministro de Comunicaciones, Infraestructura y Vivienda', 'Alcalde de Guatemala']",Contesta la siguiente pregunta: ¿Qué cargo ocupa Fritz García-Gallont?,"['Ministro de Comunicaciones, Infraestructura y Vivienda', 'Alcalde de Guatemala']","['guatemala', 'guatemala']","[[], ['alcalde de la ciudad de Guatemala', 'alcalde de la Nueva Guatemala', 'alcalde de la Nueva Guatemala de la Asunción']]"
Froilán Casas Ortíz,Cargo,['obispo diocesano'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Froilán Casas Ortíz?,['obispo diocesano'],['colombia'],"[['obispo eparquial', 'obispo ordinario', 'obispo residencial']]"
Fruto Chamorro Pérez,Cargo,['Presidente de Nicaragua'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fruto Chamorro Pérez?,['Presidente de Nicaragua'],['nicaragua'],"[['Presidente de La Republica de Nicaragua', 'Presidente de La República de Nicaragua']]"
Fulgencio Batista,Cargo,['Presidente de Cuba'],Contesta la siguiente pregunta: ¿Qué cargo ocupa Fulgencio Batista?,['Presidente de Cuba'],['cuba'],"[['Presidente de la República de Cuba', 'Presidente del Consejo de Estado de la Republica de Cuba', 'Presidente del Consejo de Estado de la República de Cuba']]"
